Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
337-24_S2_L001_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	3806533.0	pass	fail	pass	55.0	58.5036058094	337-24_S2_L001_R1_001.fastq	pass	pass
337-24_S2_L001_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3806533.0	pass	fail	warn	54.0	58.4874471578	337-24_S2_L001_R2_001.fastq	pass	pass
337-24_S2_L002_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	3673998.0	pass	fail	pass	55.0	58.5311512538	337-24_S2_L002_R1_001.fastq	pass	pass
337-24_S2_L002_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3673998.0	pass	fail	warn	54.0	58.5548244287	337-24_S2_L002_R2_001.fastq	pass	pass
337-24_S2_L003_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	3822001.0	pass	fail	pass	55.0	58.1332822495	337-24_S2_L003_R1_001.fastq	pass	pass
337-24_S2_L003_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3822001.0	pass	fail	warn	54.0	58.0372306201	337-24_S2_L003_R2_001.fastq	pass	pass
337-24_S2_L004_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	3725460.0	pass	fail	pass	55.0	58.4403277689	337-24_S2_L004_R1_001.fastq	pass	pass
337-24_S2_L004_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3725460.0	pass	fail	warn	54.0	58.3538270929	337-24_S2_L004_R2_001.fastq	pass	pass
337-2_S19_L001_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5586227.0	pass	fail	pass	52.0	63.6099655323	337-2_S19_L001_R1_001.fastq	pass	pass
337-2_S19_L001_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	5586227.0	pass	fail	warn	52.0	63.898955453	337-2_S19_L001_R2_001.fastq	pass	pass
337-2_S19_L002_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5402839.0	pass	fail	pass	52.0	63.8641790736	337-2_S19_L002_R1_001.fastq	pass	pass
337-2_S19_L002_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5402839.0	pass	fail	warn	52.0	64.0581586412	337-2_S19_L002_R2_001.fastq	pass	pass
337-2_S19_L003_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	5604761.0	pass	fail	pass	52.0	63.3882073494	337-2_S19_L003_R1_001.fastq	pass	pass
337-2_S19_L003_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	5604761.0	pass	fail	warn	52.0	63.476571391	337-2_S19_L003_R2_001.fastq	pass	pass
337-2_S19_L004_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5470895.0	pass	fail	pass	52.0	63.5908238719	337-2_S19_L004_R1_001.fastq	pass	pass
337-2_S19_L004_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5470895.0	pass	fail	warn	52.0	63.8803224251	337-2_S19_L004_R2_001.fastq	pass	pass
337-3_S18_L001_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3452707.0	pass	fail	warn	59.0	44.8884536536	337-3_S18_L001_R1_001.fastq	pass	pass
337-3_S18_L001_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3452707.0	pass	fail	warn	58.0	45.0326614643	337-3_S18_L001_R2_001.fastq	pass	pass
337-3_S18_L002_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3325538.0	pass	fail	warn	59.0	45.4821815197	337-3_S18_L002_R1_001.fastq	pass	pass
337-3_S18_L002_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3325538.0	pass	fail	warn	58.0	45.7189636835	337-3_S18_L002_R2_001.fastq	pass	pass
337-3_S18_L003_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3461898.0	pass	fail	warn	59.0	44.7591307802	337-3_S18_L003_R1_001.fastq	pass	pass
337-3_S18_L003_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3461898.0	pass	fail	warn	58.0	44.8886896332	337-3_S18_L003_R2_001.fastq	pass	pass
337-3_S18_L004_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3373807.0	pass	fail	warn	59.0	44.697932337	337-3_S18_L004_R1_001.fastq	pass	pass
337-3_S18_L004_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3373807.0	pass	fail	warn	58.0	45.0154661643	337-3_S18_L004_R2_001.fastq	pass	pass
337-4_S10_L001_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4778547.0	pass	fail	pass	50.0	72.2130785645	337-4_S10_L001_R1_001.fastq	pass	pass
337-4_S10_L001_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	4778547.0	pass	warn	warn	50.0	72.048806741	337-4_S10_L001_R2_001.fastq	pass	pass
337-4_S10_L002_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4623258.0	pass	fail	warn	50.0	72.3837469428	337-4_S10_L002_R1_001.fastq	pass	pass
337-4_S10_L002_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4623258.0	pass	warn	warn	50.0	71.9984257797	337-4_S10_L002_R2_001.fastq	pass	pass
337-4_S10_L003_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4792263.0	pass	fail	pass	50.0	72.0088078239	337-4_S10_L003_R1_001.fastq	pass	pass
337-4_S10_L003_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4792263.0	pass	warn	warn	50.0	71.5927944696	337-4_S10_L003_R2_001.fastq	pass	pass
337-4_S10_L004_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4680581.0	pass	fail	pass	50.0	72.1376045844	337-4_S10_L004_R1_001.fastq	pass	pass
337-4_S10_L004_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	4680581.0	pass	warn	warn	50.0	71.7073419127	337-4_S10_L004_R2_001.fastq	pass	pass
337-5_S9_L001_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	6363781.0	pass	fail	pass	46.0	81.4730703288	337-5_S9_L001_R1_001.fastq	pass	pass
337-5_S9_L001_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	6363781.0	pass	fail	pass	46.0	81.0602894852	337-5_S9_L001_R2_001.fastq	pass	pass
337-5_S9_L002_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	6166692.0	pass	fail	pass	46.0	81.5794123253	337-5_S9_L002_R1_001.fastq	pass	pass
337-5_S9_L002_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	6166692.0	pass	fail	warn	46.0	81.1449287402	337-5_S9_L002_R2_001.fastq	pass	pass
337-5_S9_L003_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	6393045.0	pass	fail	pass	47.0	81.1033023088	337-5_S9_L003_R1_001.fastq	pass	pass
337-5_S9_L003_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	6393045.0	pass	fail	pass	46.0	80.5838301795	337-5_S9_L003_R2_001.fastq	pass	pass
337-5_S9_L004_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	pass	6243567.0	pass	fail	pass	46.0	81.2614937995	337-5_S9_L004_R1_001.fastq	pass	pass
337-5_S9_L004_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	pass	6243567.0	pass	fail	warn	46.0	80.7354832935	337-5_S9_L004_R2_001.fastq	pass	pass
337-6_S15_L001_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5610926.0	pass	fail	pass	49.0	76.1162505965	337-6_S15_L001_R1_001.fastq	pass	pass
337-6_S15_L001_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5610926.0	pass	warn	warn	48.0	75.6084411359	337-6_S15_L001_R2_001.fastq	pass	pass
337-6_S15_L002_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5416483.0	pass	fail	pass	49.0	76.4156590894	337-6_S15_L002_R1_001.fastq	pass	pass
337-6_S15_L002_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	pass	5416483.0	pass	warn	warn	48.0	75.8955295742	337-6_S15_L002_R2_001.fastq	pass	pass
337-6_S15_L003_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5614235.0	pass	fail	pass	49.0	75.8756036911	337-6_S15_L003_R1_001.fastq	pass	pass
337-6_S15_L003_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	pass	5614235.0	pass	warn	warn	48.0	75.4291233063	337-6_S15_L003_R2_001.fastq	pass	pass
337-6_S15_L004_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5484363.0	pass	fail	pass	49.0	76.0471230591	337-6_S15_L004_R1_001.fastq	pass	pass
337-6_S15_L004_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5484363.0	pass	warn	warn	48.0	75.6361051628	337-6_S15_L004_R2_001.fastq	pass	pass
337-7_S8_L001_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3480895.0	pass	fail	warn	57.0	48.8565325847	337-7_S8_L001_R1_001.fastq	pass	pass
337-7_S8_L001_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3480895.0	pass	fail	warn	57.0	48.7567423243	337-7_S8_L001_R2_001.fastq	pass	pass
337-7_S8_L002_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3363722.0	pass	fail	warn	57.0	48.9550395666	337-7_S8_L002_R1_001.fastq	pass	pass
337-7_S8_L002_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3363722.0	pass	fail	warn	57.0	48.899095351	337-7_S8_L002_R2_001.fastq	pass	pass
337-7_S8_L003_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3495074.0	pass	fail	warn	57.0	48.4914983954	337-7_S8_L003_R1_001.fastq	pass	pass
337-7_S8_L003_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3495074.0	pass	fail	warn	57.0	48.3380125124	337-7_S8_L003_R2_001.fastq	pass	pass
337-7_S8_L004_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3407283.0	pass	fail	warn	57.0	48.6293588442	337-7_S8_L004_R1_001.fastq	pass	pass
337-7_S8_L004_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3407283.0	pass	fail	warn	57.0	48.6578034712	337-7_S8_L004_R2_001.fastq	pass	pass
337-8_S14_L001_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	pass	5699821.0	pass	fail	pass	48.0	76.2386361345	337-8_S14_L001_R1_001.fastq	pass	pass
337-8_S14_L001_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	5699821.0	pass	warn	warn	48.0	75.8584996468	337-8_S14_L001_R2_001.fastq	pass	pass
337-8_S14_L002_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5505509.0	pass	fail	pass	48.0	76.4008294266	337-8_S14_L002_R1_001.fastq	pass	pass
337-8_S14_L002_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5505509.0	pass	warn	warn	48.0	75.9343692591	337-8_S14_L002_R2_001.fastq	pass	pass
337-8_S14_L003_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	pass	5714153.0	pass	fail	pass	48.0	75.9478167413	337-8_S14_L003_R1_001.fastq	pass	pass
337-8_S14_L003_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	warn	5714153.0	pass	warn	warn	48.0	75.264517586	337-8_S14_L003_R2_001.fastq	pass	pass
337-8_S14_L004_R1_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	pass	5572871.0	pass	fail	pass	48.0	76.2053559392	337-8_S14_L004_R1_001.fastq	pass	pass
337-8_S14_L004_R2_001	pass	0.0	pass	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	warn	5572871.0	pass	warn	warn	48.0	75.6185280236	337-8_S14_L004_R2_001.fastq	pass	pass
337-9_S23_L001_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3889423.0	pass	fail	pass	57.0	53.0141487628	337-9_S23_L001_R1_001.fastq	pass	pass
337-9_S23_L001_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3889423.0	pass	fail	warn	57.0	52.9649604181	337-9_S23_L001_R2_001.fastq	pass	pass
337-9_S23_L002_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3765404.0	pass	fail	pass	57.0	53.1573500587	337-9_S23_L002_R1_001.fastq	pass	pass
337-9_S23_L002_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3765404.0	pass	fail	warn	57.0	53.0973325026	337-9_S23_L002_R2_001.fastq	pass	pass
337-9_S23_L003_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3909902.0	pass	fail	pass	57.0	52.6271288896	337-9_S23_L003_R1_001.fastq	pass	pass
337-9_S23_L003_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3909902.0	pass	fail	warn	57.0	52.4425586259	337-9_S23_L003_R2_001.fastq	pass	pass
337-9_S23_L004_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3809695.0	pass	fail	pass	57.0	52.8239937886	337-9_S23_L004_R1_001.fastq	pass	pass
337-9_S23_L004_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3809695.0	pass	fail	warn	57.0	52.708433256	337-9_S23_L004_R2_001.fastq	pass	pass
